"   ","ID","ITEM_NAME","RATIO0","ID1","ITEM1","RATIO1","ID2","ITEM2","RATIO2","ID3","ITEM3","RATIO3","ID4","ITEM4","CNT","RATIO4"
"1","VI4993","吸入物变应原筛查","0.8534","VI2787","吸入物变应原筛查","0.4619","VI4992","变应原测定","0.0551","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"2","VI2793","专项变应原（单价变应原）筛查","0.5","VI2792","专项变应原（单价变应原）筛查","0.0013","VI4992","变应原测定","0.0551","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"3","VI4994","嗜酸细胞阳离子蛋白（ECP）测定","1","VI2794","嗜酸细胞阳离子蛋白（ECP）测定","0.0088","VI4992","变应原测定","0.0551","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"4","VI2786","总IgE测定","0.9647","VI2785","总IgE测定","0.577","VI4992","变应原测定","0.0551","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"5","VI2755","癌胚抗原测定(CEA)","0.8423","VI2754","癌胚抗原测定(CEA)","0.9293","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"6","VI4989","前列腺酸性磷酸酶测定(PAP)","1","VI2764","前列腺酸性磷酸酶测定(PAP)","0.0001","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"7","VI2770","糖类抗原测定","0.8727","VI2769","糖类抗原测定","0.8008","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"8","VI2772","鳞状细胞癌相关抗原测定(SCC)","0.9999","VI2771","鳞状细胞癌相关抗原测定(SCC)","0.2614","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"9","VI2775","肿瘤相关抗原测定","0.8049","VI2774","肿瘤相关抗原测定","0.0008","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
"10","VI2777","铁蛋白测定","0.896","VI2776","铁蛋白测定","0.42","VI2753","肿瘤相关抗原测定","0.8358","VI197","4．临床免疫学检查","0.8064","VI1082","(五)检验","71757","0.2474"
