"   ","PRODUCT_NAME","TRAD_NAME","ID","SMALL_GENERIC_ID","CHILD_USE_LEVEL","CHILD_AGE_UNIT","CHILD_AGE","PREGNANT_FLAG","PREGNANT_USE_LEVEL","AGED_LIVER_KIDNEY","AGED_USE_LEVEL","COMMENTS"
"1","复方和血丸","复方和血丸","DR1493","DS2610","","","","","","","",""
"2","复方银杏叶颗粒","复方银杏叶颗粒","DR1154","DS127","","","","","","","",""
"3","苍鹅鼻炎片","苍鹅鼻炎片","DR1424","DS475","2","Y","14","2","2","","",""
"4","苍鹅鼻炎片","苍鹅鼻炎片","DR1424","DS475","2","Y","14","1","2","","",""
"5","金龙舒胆胶囊","金龙舒胆胶囊","DR3927","DS3181","","","","1","2","","",""
"6","金刚口服液","金刚口服液","DR3960","DS3215","","","","","","","",""
"7","环磷腺苷葡胺注射液","环磷腺苷葡胺注射液","DR3970","DS2638","","","","","","","",""
"8","麻仁滋脾丸","麻仁滋脾丸","DR71350","DS3301","","","","1","2","","",""
"9","清肺抑火丸","","DR71498","DS3424","","","","1","1","","",""
"10","参芍片","","DR71499","DS3425","","","","","","","",""
"11","注射用盐酸昂丹司琼","奥一麦","DR71513","DS23539","","","","2","1","","",""
"12","注射用盐酸昂丹司琼","奥一麦","DR71513","DS23539","","","","1","1","","",""
"13","醋酸去氨加压素鼻喷雾剂","依他停","DR71628","DS23561","1","Y","3","1","1","","1",""
"14","醋酸去氨加压素鼻喷雾剂","依他停","DR71628","DS23561","1","Y","3","2","1","","1",""
"15","复方川贝精颗粒","圣保堂","DR71706","DS3586","","","","1","1","","",""
"16","熊胆救心丸","熊胆救心丸","DR71880","DS16747","2","Y","6","1","2","","",""
"17","心安宁片","心安宁片","DR72100","DS15505","","","","","","","",""
"18","注射用尼麦角林","海南普利","DR72032","DS875","1","Y","14","1","1","","",""
"19","注射用尼麦角林","海南普利","DR72032","DS875","1","Y","14","2","1","","",""
"20","卡莫氟片","嘧福禄","DR72094","DS20290","","","","2","2","","1",""
"21","卡莫氟片","嘧福禄","DR72094","DS20290","","","","1","2","","1",""
"22","小金片","小金片","DR72136","DS17655","","","","1","2","","",""
"23","小建中片","小建中片","DR72149","DS17549","","","","","","","",""
"24","小活络片","小活络片","DR72153","DS17072","","","","1","2","","",""
"25","解毒护肝颗粒","解毒护肝颗粒","DR1390","DS1188","","","","","","","",""
"26","茵莲清肝颗粒","茵莲清肝颗粒","DR405","DS2211","","","","1","1","","",""
"27","鼻渊舒胶囊","鼻渊舒胶囊","DR1307","DS1545","","","","","","","",""
"28","益心巴迪然吉布亚颗粒","益心巴迪然吉布亚颗粒","DR1352","DS1812","","","","","","","",""
"29","比卡鲁胺胶囊","岩列舒","DR3451","DS1813","2","Y","14","1","2","","",""
"30","比卡鲁胺胶囊","岩列舒","DR3451","DS1813","2","Y","14","2","2","","",""
"31","双黄连口服液","双黄连口服液","DR2360","DS2612","","","","","","","",""
"32","十一味参芪胶囊","十一味参芪胶囊","DR253","DS129","","","","","","","",""
"33","一清滴丸","一清滴丸","DR2333","DS477","","","","","","","",""
"34","醋酸氢化可的松乳膏","","DR3196","DS2212","","","","","","","",""
"35","乙酰螺旋霉素片","乙酰螺旋霉素片","DR341","DS1190","","","","2","1","","",""
"36","乙酰螺旋霉素片","乙酰螺旋霉素片","DR341","DS1190","","","","1","1","","",""
"37","盐酸多巴酚丁胺注射液","","DR1846","DS1191","","","","1","0","","0",""
"38","盐酸多巴酚丁胺注射液","","DR1846","DS1191","","","","2","0","","0",""
"39","盐酸多塞平片","","DR1171","DS1546","1","Y","14","2","1","","0",""
"40","盐酸多塞平片","","DR1171","DS1546","1","Y","14","1","1","","0",""
"41","注射用多索茶碱","益索","DR3084","DS1520","","","","1","1","","1",""
"42","注射用多索茶碱","益索","DR3084","DS1520","","","","2","2","","1",""
"43","多索茶碱片","","DR1536","DS1520","","","","2","1","","1",""
"44","多索茶碱片","","DR1536","DS1520","","","","1","1","","1",""
"45","多种微量元素注射液(Ⅱ)","安达美","DR731","DS2213","","","","2","0","","0",""
"46","多种微量元素注射液(Ⅱ)","安达美","DR731","DS2213","","","","1","0","","0",""
"47","二甲硅油片","","DR56","DS1192","","","","2","0","","0",""
"48","二甲硅油片","","DR56","DS1192","","","","1","0","","0",""
"49","盐酸二甲双胍肠溶片","君士达新","DR1758","DS1193","1","Y","10","2","2","","1",""
"50","盐酸二甲双胍肠溶片","君士达新","DR1758","DS1193","1","Y","10","1","2","","1",""
"51","注射用二乙酰氨乙酸乙二胺","","DR1327","DS1913","","","","1","0","","0",""
"52","注射用二乙酰氨乙酸乙二胺","","DR1327","DS1913","","","","2","0","","0",""
"53","法莫替丁胶囊","","DR1426","DS1194","1","Y","14","2","2","","0",""
"54","法莫替丁胶囊","","DR1426","DS1194","1","Y","14","1","2","","0",""
"55","注射用法莫替丁","中诺舒奇","DR464","DS1194","1","Y","3","2","2","","1",""
"56","注射用法莫替丁","中诺舒奇","DR464","DS1194","1","Y","3","1","2","","1",""
"57","复方泛影葡胺注射液","","DR1302","DS1814","1","Y","3","2","0","","1",""
"58","复方泛影葡胺注射液","","DR1302","DS1814","1","Y","3","1","1","","1",""
"59","注射用放线菌素D","","DR1586","DS2613","1","Y","3","2","1","","0",""
"60","注射用放线菌素D","","DR1586","DS2613","1","Y","3","1","2","","0",""
"61","氟罗沙星注射液","","DR1508","DS2214","1","Y","14","2","2","","0",""
"62","氟罗沙星注射液","","DR1508","DS2214","1","Y","14","1","2","","0",""
"63","氟尿嘧啶注射液","","DR3395","DS478","","","","2","2","","0",""
"64","氟尿嘧啶注射液","","DR3395","DS478","","","","1","2","","0",""
"65","氟哌啶醇片","","DR1019","DS132","1","Y","14","2","1","","1",""
"66","氟哌啶醇片","","DR1019","DS132","1","Y","14","1","1","","1",""
"67","盐酸氟西汀罗胶囊","","DR2782","DS2614","1","Y","14","2","0","","0",""
"68","盐酸氟西汀罗胶囊","","DR2782","DS2614","1","Y","14","1","0","","0",""
"69","注射用辅酶A","","DR2073","DS1549","","","","2","0","","0",""
"70","注射用辅酶A","","DR2073","DS1549","","","","1","0","","0",""
"71","甲磺酸酚妥拉明注射液","","DR1784","DS2215","","","","2","1","","0",""
