,ID,PRODUCT_NAME,TRAD_NAME,CHINESE_PATENT_MEDICINE,SMALL_GENERIC_ID,LABEL_FORM_CODE,ACTUAL_FORM_CODE,DRUG_RULE_TYPE,CHRONIC_DRUG,TERM_ID,UPDATE_TIME,UPDATE_BY,DRUG_CODE,SPEC,PACK_SPEC,DOSAGE_UNIT,MIN_UNIT,MAX_UNIT,DOSAGE_UNIT_MIN_SCALE,MIN_UNIT_MAX_SCALE,SPEC_UNIT_MAX_SCALE,EXCEL_CODE,ACTUAL_FORM_NAME,IS_SUBMIT,IS_ENABLE,DRUG_TYPE,CREATE_TIME,STANDARD,PACK,DOSE_VERIFICATION,IS_PUBLISH,SF_FZYY,BIG_GENERIC_CODE,DISPOSED_PRODUCT_NAME,PY
0,1,DR1493,复方和血丸,复方和血丸,1,DS2610,4,401,0,0,2014/8/1,16:00,yangruier,132477,丸剂,1,1,SI8526,1,0,复方和血丸,fufanghexuewan,,,,,,,,,,,,,
1,2,DR1154,复方银杏叶颗粒,复方银杏叶颗粒,1,DS127,5,501,0,1,2014/8/4,10:15,gutingting,77977,颗粒剂,1,1,SI8537,1,0,复方银杏叶颗粒,fufangyinxingyekeli,,,,,,,,,,,,,
2,3,DR1424,苍鹅鼻炎片,苍鹅鼻炎片,1,DS475,1,101,0,0,2014/8/4,14:23,gulingling,102283,片剂,1,1,SI8587,1,0,苍鹅鼻炎片,cangebiyanpian,,,,,,,,,,,,,
3,4,DR3927,金龙舒胆胶囊,金龙舒胆胶囊,1,DS3181,1,102,0,0,2014/8/25,10:32,gutingting,122133,硬胶囊,1,1,SI8500,1,0,金龙舒胆胶囊,jinlongshudanjiaonang,,,,,,,,,,,,,
4,5,DR3960,金刚口服液,金刚口服液,1,DS3215,3,306,0,0,2014/8/25,15:53,gutingting,113437,口服液,1,1,SI8524,1,0,金刚口服液,jingangkoufuye,,,,,,,,,,,,,
5,6,DR3970,环磷腺苷葡胺注射液,环磷腺苷葡胺注射液,0,DS2638,19,1902,0,0,2014/8/26,14:36,yangruier,137676,注射液,1,1,SI1001,1,0,环磷腺苷葡胺注射液,huanlinxianganpuanzhusheye,,,,,,,,,,,,,
6,7,DR71350,麻仁滋脾丸,麻仁滋脾丸,1,DS3301,4,405,0,0,2014/9/1,10:51,gutingting,91385,蜜丸,1,1,SI8495,1,0,麻仁滋脾丸,marenzipiwan,,,,,,,,,,,,,
7,8,DR71498,清肺抑火丸,1,DS3424,4,401,0,0,2014/9/9,11:09,lujingjing,128001,丸剂,1,1,SI8498,1,0,清肺抑火丸,qingfeiyihuowan,,,,,,,,,,,,,,
8,9,DR71499,参芍片,1,DS3425,1,101,0,0,2014/9/9,11:11,gulingling,105781,片剂,1,1,SI8537,1,0,参芍片,canshaopian,,,,,,,,,,,,,,
9,10,DR71513,注射用盐酸昂丹司琼,奥一麦,0,DS23539,19,1901,0,0,2018/3/21,17:40,zhengbingwei,80414,注射剂,1,1,1,0,注射用盐酸昂丹司琼,zhusheyongyansuanangdansiqiong,,,,,,,,,,,,,,
