"   ","ID_DR","NAME_DR","RATIO_DR","ID_DS","NAME_DS","RATIO_DS","ID_BG_DS","NAME_BG_DS","RATIO_BG_DS","ID_CATEGORY1","NAME_CATEGORY1","RATIO_CATEGORY1","ID_CATEGORY2","NAME_CATEGORY2","RATIO_CATEGORY2","ID_CATEGORY3","NAME_CATEGORY3","RATIO_CATEGORY3","ID_CATEGORY4","NAME_CATEGORY4","RATIO_CATEGORY4","ID_CATEGORY5","NAME_CATEGORY5","RATIO_CATEGORY5","ID_CATEGORY6","NAME_CATEGORY6","RATIO_CATEGORY6"
"1","DR1296","酒石酸美托洛尔片","0.4878","DS1921","酒石酸美托洛尔","0.8168","DG13332","美托洛尔","0.9716","DC1099","选择性β-受体阻滞剂","0.9435","DC548","β-受体阻滞剂药","1","DC154","β-受体阻滞剂","0.1165","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"2","DR607","前列地尔注射液","0.7079","DS1568","前列地尔","1","DG12470","前列地尔","0.9989","DC679","治疗勃起功能障碍药","0.9916","DC308","其他泌尿系统药物，包括解痉药","0.7294","DC84","泌尿系统药","0.8688","DC17","泌尿生殖系统药和性激素","0.0872","DC2","西药","0.7954","","",""
"3","DR607","前列地尔注射液","0.7079","DS1568","前列地尔","1","DG12470","前列地尔","1","DC1053","前列腺素类药","0.604","DC517","其他心脏疾病用药","0.6731","DC147","心脏治疗药","0.2061","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"4","DR1884","注射用哌拉西林钠他唑巴坦钠","1","DS493","哌拉西林钠他唑巴坦钠","0.9982","DG10004","哌拉西林他唑巴坦","0.4536","DC718","青霉素类复方制剂，含β-内酰胺酶抑制剂","0.7844","DC318","β-内酰胺类抗菌药，青霉素类","0.2751","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"5","DR3123","盐酸莫西沙星氯化钠注射液","1","DS1569","盐酸莫西沙星氯化钠","0.0967","DG5776","莫西沙星","0.0985","DC723","氟喹诺酮类","1","DC320","喹诺酮类抗菌药","0.2461","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"6","DR887","盐酸帕罗西汀片","1","DS141","盐酸帕罗西汀","1","DG12207","帕罗西汀","0.178","DC792","选择性5-羟色胺再摄取抑制剂","0.7577","DC359","抗抑郁药","0.0572","DC99","精神兴奋药","0.4638","DC20","神经系统药物","0.6013","DC2","西药","0.7954","","",""
"7","DR3407","精氨酸培哚普利片","1","DS23556","精氨酸培哚普利","1","DG10626","培哚普利","0.1766","DC534","血管紧张素转换酶抑制剂的单方药","0.1097","DC151","作用于肾素-血管紧张素系统的药物","0.2744","DC27","心血管系统","0.6531","DC2","西药","0.7954","","","","","",""
"8","DR1765","注射用氢化可的松琥珀酸钠","1","DS495","氢化可的松琥珀酸钠","0.3991","DG11620","氢化可的松","0.6388","DC935","弱效皮质激素类药（I组）","0.2835","DC429","皮质激素类的单方药","0.9319","DC120","皮科用皮质激素类","0.1463","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"9","DR1765","注射用氢化可的松琥珀酸钠","1","DS495","氢化可的松琥珀酸钠","0.3991","DG11620","氢化可的松","0.2159","DC867","眼科用皮质激素类的单方药","0.4248","DC382","眼科用抗炎药","0.053","DC106","眼科用药","1","DC21","感觉器官药物","0.402","DC2","西药","0.7954","","",""
"10","DR1765","注射用氢化可的松琥珀酸钠","1","DS495","氢化可的松琥珀酸钠","0.3991","DG11620","氢化可的松","0.1354","DC603","糖皮质激素类","1","DC262","全身用皮质激素的单方制剂","1","DC73","全身用皮质激素类","0.7202","DC15","系统性激素制剂，不含性激素和胰岛素","0.02","DC2","西药","0.7954","","",""
"11","DR2971","熊去氧胆酸胶囊","0.7642","DS1208","熊去氧胆酸","1","DG12204","熊去氧胆酸","1","DC1034","胆酸制剂","0.5638","DC508","胆治疗药","0.0845","DC145","胆和肝治疗药","0.0311","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","",""
"12","DR2407","米力农注射液","0.7179","DS143","米力农","0.9286","DG13048","米力农","1","DC1063","磷酸二酯酶抑制剂","0.0438","DC520","强心苷类除外的心脏兴奋药","0.0309","DC147","心脏治疗药","0.2061","DC27","心血管系统","0.6531","DC2","西药","0.7954","","",""
"13","DR967","莫匹罗星软膏","1","DS1831","莫匹罗星","1","DG12534","莫匹罗星","0.1398","DC908","其他局部用抗生素","0.5371","DC411","局部用抗生素","0.9194","DC113","皮肤病用抗生素和化疗药物","0.1419","DC23","皮肤病用药","0.0792","DC2","西药","0.7954","","",""
"14","DR388","枸橼酸莫沙必利胶囊","0.2235","DS2625","枸橼酸莫沙必利","1","DG9971","莫沙必利","0.484","DC478","胃肠动力药","0.8778","DC137","治疗功能性胃肠道疾病的药物","0.0852","DC26","消化道和代谢方面的药物","0.3097","DC2","西药","0.7954","","","","","",""
"15","DR423","注射用美洛西林钠舒巴坦钠","1","DS3630","美洛西林钠舒巴坦钠","0.9456","DG11135","美洛西林舒巴坦","0.0614","DC718","青霉素类复方制剂，含β-内酰胺酶抑制剂","0.7844","DC318","β-内酰胺类抗菌药，青霉素类","0.2751","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
"16","DR2578","盐酸纳洛酮注射液","0.7134","DS496","盐酸纳洛酮","1","DG341","纳洛酮","0.3223","DC288","解毒药","0.9541","DC80","所有其他治疗药物","0.0458","DC16","杂类","0.2065","DC2","西药","0.7954","","","","","",""
"17","DR821","罗红霉素软胶囊","0.0065","DS2222","罗红霉素","1","DG10718","罗红霉素","0.3652","DC721","大环内酯类","0.8487","DC319","大环内酯类，林可胺类和链阳菌素类","0.1337","DC90","全身用抗菌药","0.9519","DC18","全身用抗感染药","0.1011","DC2","西药","0.7954","","",""
