,product_name,trad_name,generic_name,generic_id,real,real_name
0,复方和血丸,复方和血丸,复方和血丸,DS2610,复方和血丸,复方和血丸
1,复方银杏叶颗粒,复方银杏叶颗粒,复方银杏叶颗粒,DS127,复方银杏叶颗粒,复方银杏叶颗粒
2,苍鹅鼻炎片,苍鹅鼻炎片,苍鹅鼻炎片,DS475,苍鹅鼻炎片,苍鹅鼻炎片
3,金龙舒胆胶囊,金龙舒胆胶囊,金龙舒胆胶囊,DS3181,金龙舒胆胶囊,金龙舒胆胶囊
4,金刚口服液,金刚口服液,金刚口服液,DS3215,金刚口服液,金刚口服液
5,环磷腺苷葡胺注射液,环磷腺苷葡胺注射液,环磷腺苷葡胺,DS2638,环磷腺苷葡胺注射液,环磷腺苷葡胺注射液
6,麻仁滋脾丸,麻仁滋脾丸,麻仁滋脾丸,DS3301,麻仁滋脾丸,麻仁滋脾丸
7,清肺抑火丸,,清肺抑火丸,DS3424,清肺抑火丸,清肺抑火丸
8,参芍片,,参芍片,DS3425,参芍片,参芍片
11,复方川贝精颗粒,圣保堂,复方川贝精颗粒,DS3586,复方川贝精颗粒,复方川贝精颗粒
12,熊胆救心丸,熊胆救心丸,熊胆救心丸,DS16747,熊胆救心丸,熊胆救心丸
13,心安宁片,心安宁片,心安宁片,DS15505,心安宁片,心安宁片
14,注射用尼麦角林,海南普利,尼麦角林,DS875,注射用尼麦角林,注射用尼麦角林
15,卡莫氟片,嘧福禄,卡莫氟,DS20290,卡莫氟片,卡莫氟片
16,小金片,小金片,小金片,DS17655,小金片,小金片
17,小建中片,小建中片,小建中片,DS17549,小建中片,小建中片
18,小活络片,小活络片,小活络片,DS17072,小活络片,小活络片
19,解毒护肝颗粒,解毒护肝颗粒,解毒护肝颗粒,DS1188,解毒护肝颗粒,解毒护肝颗粒
20,茵莲清肝颗粒,茵莲清肝颗粒,茵莲清肝颗粒,DS2211,茵莲清肝颗粒,茵莲清肝颗粒
21,鼻渊舒胶囊,鼻渊舒胶囊,鼻渊舒胶囊,DS1545,鼻渊舒胶囊,鼻渊舒胶囊
