,item,url1
0,无尽战刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558376.html
1,近卫荣耀,http://news.4399.com/wzlm/daoju/fz/m/760625.html
2,奔狼纹章,http://news.4399.com/wzlm/daoju/fz/m/760621.html
3,救赎之翼,http://news.4399.com/wzlm/daoju/fz/m/760619.html
4,极影,http://news.4399.com/wzlm/daoju/fz/m/760616.html
5,鼓舞之盾,http://news.4399.com/wzlm/daoju/fz/m/760608.html
6,风灵纹章,http://news.4399.com/wzlm/daoju/fz/m/760604.html
7,风之轻语,http://news.4399.com/wzlm/daoju/fz/m/760601.html
8,凤鸣指环,http://news.4399.com/wzlm/daoju/fz/m/760587.html
9,学识宝石,http://news.4399.com/wzlm/daoju/fz/m/760583.html
10,冰霜长矛,http://news.4399.com/wzlm/daoju/gj/m/736100.html
11,逐日之弓,http://news.4399.com/wzlm/daoju/gj/m/736084.html
12,宗师之力,http://news.4399.com/wzlm/daoju/gj/m/735583.html
13,辉月,http://news.4399.com/wzlm/daoju/fs/m/734415.html
14,奔狼纹章,http://news.4399.com/wzlm/daoju/fy/m/733638.html
15,噬神之书,http://news.4399.com/wzlm/daoju/fs/m/733575.html
16,纯净苍穹,http://news.4399.com/wzlm/daoju/gj/m/689205.html
17,贤者的庇护,http://news.4399.com/wzlm/daoju/fy/m/633221.html
18,冰痕之握,http://news.4399.com/wzlm/daoju/fy/m/633219.html
19,冰霜战锤（旧版）,http://news.4399.com/wzlm/daoju/fy/m/633218.html
20,血魔之怒,http://news.4399.com/wzlm/daoju/fy/m/633214.html
21,追击刀锋,http://news.4399.com/wzlm/daoju/dy/m/632857.html
22,巡守利斧,http://news.4399.com/wzlm/daoju/dy/m/632851.html
23,游击弯刀,http://news.4399.com/wzlm/daoju/dy/m/632845.html
24,疾步之靴,http://news.4399.com/wzlm/daoju/yd/m/632826.html
25,贤者之书,http://news.4399.com/wzlm/daoju/fs/m/632815.html
26,圣杯,http://news.4399.com/wzlm/daoju/fs/m/632812.html
27,梦魇之牙,http://news.4399.com/wzlm/daoju/fs/m/632807.html
28,金色圣剑（旧版）,http://news.4399.com/wzlm/daoju/fs/m/632805.html
29,元素杖,http://news.4399.com/wzlm/daoju/fs/m/632800.html
30,制裁之刃,http://news.4399.com/wzlm/daoju/gj/m/632593.html
31,速击之枪,http://news.4399.com/wzlm/daoju/gj/m/632589.html
32,冲能拳套,http://news.4399.com/wzlm/daoju/gj/m/632586.html
33,雷鸣刃,http://news.4399.com/wzlm/daoju/gj/m/632584.html
34,狩猎宽刃,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563232.html
35,符文大剑,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563227.html
36,巨人之握,http://news.4399.com/gonglue/wzlm/daoju/dy/m/563214.html
37,秘法之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563202.html
38,冷静之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563186.html
39,抵抗之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563171.html
40,影忍之足,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563160.html
41,神速之靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/563151.html
42,红玛瑙,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562917.html
43,布甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562909.html
44,抗魔披风,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562904.html
45,提神水晶,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562895.html
46,力量腰带,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562890.html
47,熔炼之心,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562885.html
48,神隐斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562879.html
49,雪山圆盾,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562874.html
50,守护者之铠,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562866.html
51,近卫荣耀,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562797.html
52,反伤刺甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/562780.html
53,红莲斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561441.html
54,霸者重装,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561440.html
55,不详征兆,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561439.html
56,不死鸟之眼,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561438.html
57,魔女斗篷,http://news.4399.com/gonglue/wzlm/daoju/fy/m/561437.html
58,三圣之力（旧版）,http://news.4399.com/gonglue/wzlm/daoju/gj/m/561422.html
59,咒术典籍,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559232.html
60,蓝宝石,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559227.html
61,炼金护符,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559225.html
62,圣者法典,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559222.html
63,大棒,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559219.html
64,血族之书,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559212.html
65,光辉之剑,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559207.html
66,魅影面罩,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559204.html
67,进化水晶,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559200.html
68,破碎圣杯,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559192.html
69,炽热支配者,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559183.html
70,虚无法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559174.html
71,博学者之怒,http://news.4399.com/gonglue/wzlm/daoju/fs/m/559165.html
72,铁剑,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559118.html
73,匕首,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559107.html
74,搏击拳套,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559104.html
75,风暴巨剑,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559101.html
76,日冕,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559096.html
77,狂暴双刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559091.html
78,吸血之镰,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559087.html
79,陨星,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559083.html
80,破魔刀,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559073.html
81,末世,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559068.html
82,名刀司命,http://news.4399.com/gonglue/wzlm/daoju/gj/m/559062.html
83,贪婪之噬,http://news.4399.com/gonglue/wzlm/daoju/dy/m/558411.html
84,急速战靴,http://news.4399.com/gonglue/wzlm/daoju/yd/m/558405.html
85,极寒风暴,http://news.4399.com/gonglue/wzlm/daoju/fy/m/558404.html
86,暴烈之甲,http://news.4399.com/gonglue/wzlm/daoju/fy/m/558400.html
87,回响之杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558395.html
88,冰霜法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558393.html
89,痛苦面具,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558390.html
90,巫术法杖,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558389.html
91,时之预言,http://news.4399.com/gonglue/wzlm/daoju/fs/m/558387.html
92,破甲弓,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558380.html
93,泣血之刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558379.html
94,破军,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558375.html
95,闪电匕首,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558373.html
96,影刃,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558370.html
97,暗影战斧,http://news.4399.com/gonglue/wzlm/daoju/gj/m/558362.html
