,hero,url,url2
0,明世隐,http://pvp.qq.com/web201605/herodetail/501.shtml,http://news.17173.com/z/pvp/yxtj/msy/index.shtml
1,女娲,http://pvp.qq.com/web201605/herodetail/179.shtml,http://news.17173.com/z/pvp/yxtj/nw/index.shtml
2,梦奇,http://pvp.qq.com/web201605/herodetail/198.shtml,http://news.17173.com/z/pvp/yxtjmq/index.shtml
3,苏烈,http://pvp.qq.com/web201605/herodetail/194.shtml,http://news.17173.com/z/pvp/yxtj/sl/index.shtml
4,百里玄策,http://pvp.qq.com/web201605/herodetail/195.shtml,http://news.17173.com/z/pvp/yxtj/blxc/index.shtml
5,百里守约,http://pvp.qq.com/web201605/herodetail/196.shtml,http://news.17173.com/z/pvp/yxtj/blsy/index.shtml
6,铠,http://pvp.qq.com/web201605/herodetail/193.shtml,http://news.17173.com/z/pvp/yxtj/kai/index.shtml
7,鬼谷子,http://pvp.qq.com/web201605/herodetail/189.shtml,http://news.17173.com/z/pvp/yxtj/ggz/index.shtml
8,干将莫邪,http://pvp.qq.com/web201605/herodetail/182.shtml,http://news.17173.com/z/pvp/yxtj/gjmy/index.shtml
9,东皇太一,http://pvp.qq.com/web201605/herodetail/187.shtml,http://news.17173.com/z/pvp/yxtj/hdtyi/index.shtml
10,大乔,http://pvp.qq.com/web201605/herodetail/191.shtml,http://news.17173.com/z/pvp/yxtj/dq/index.shtml
11,黄忠,http://pvp.qq.com/web201605/herodetail/192.shtml,http://news.17173.com/z/pvp/yxtj/hz/index.shtml
12,诸葛亮,http://pvp.qq.com/web201605/herodetail/190.shtml,http://news.17173.com/z/pvp/yxtj/zgl/index.shtml
13,哪吒,http://pvp.qq.com/web201605/herodetail/180.shtml,http://news.17173.com/z/pvp/yxtj/ezha/index.shtml
14,太乙真人,http://pvp.qq.com/web201605/herodetail/186.shtml,http://news.17173.com/z/pvp/yxtj/tyzr/index.shtml
15,蔡文姬,http://pvp.qq.com/web201605/herodetail/184.shtml,http://news.17173.com/z/pvp/yxtj/cwj/index.shtml
16,雅典娜,http://pvp.qq.com/web201605/herodetail/183.shtml,http://news.17173.com/z/pvp/yxtj/ydn/index.shtml
17,杨戬,http://pvp.qq.com/web201605/herodetail/178.shtml,http://news.17173.com/z/pvp/yxtj/yangjian/index.shtml
